,x11,x12,x13,x21,x22,x23,x31,x32,x33,y11,y12,y13,y21,y22,y23,y31,y32,y33,b1,b2
0100,-0.9464346,0.01241795,0.9723414,-1.9518213,0.0039523365,1.9608634,-0.9595189,-0.0008922013,0.9588405,-0.96874195,-1.9798903,-0.99203694,-0.0014950831,-0.014403995,-0.026492517,0.9672827,1.9539098,0.9430345,-0.098452725,-0.0018331734
0110,-0.9445072,0.010795486,0.9672598,-1.9497297,0.0022311334,1.955413,-0.9574148,-0.0022775945,0.9540206,-0.9662255,-1.977544,-0.9899123,-0.0021288344,-0.015224756,-0.027489593,0.96354187,1.9499032,0.9388477,-0.09170644,-0.0037506695
0120,-0.9405607,0.01124155,0.9642571,-1.9454186,0.0026928035,1.9521065,-0.95297676,-0.0013840924,0.95145226,-0.9617989,-1.9731083,-0.9854981,-0.0005369873,-0.013673587,-0.025913527,0.9624724,1.948709,0.9376522,-0.08632706,-0.0040888586
0130,-0.93839985,0.010129532,0.9599572,-1.9429553,0.0016072537,1.9475608,-0.95032954,-0.0020140137,0.94769096,-0.96130913,-1.9725978,-0.98506314,-0.0023064914,-0.015511624,-0.027764237,0.95842844,1.944483,0.93342644,-0.08112986,-0.005984963
0140,-0.9363821,0.0091246795,0.9559896,-1.9408745,0.00040512808,1.9431287,-0.94833803,-0.002989903,0.94379604,-0.9579687,-1.9689327,-0.981273,-0.0010926224,-0.014043972,-0.026098358,0.95757496,1.9437157,0.9328686,-0.07777914,-0.0061536557
0150,-0.9341841,0.008506771,0.9525742,-1.9382932,-6.612482e-05,1.9395773,-0.9455924,-0.003027717,0.9409556,-0.9538146,-1.9647231,-0.97704256,0.0005660235,-0.012402853,-0.024379132,0.95678836,1.9428405,0.9320829,-0.074080825,-0.0065489
0160,-0.93211776,0.007928219,0.94936526,-1.9358686,-0.000512151,1.9362699,-0.9429699,-0.0030100525,0.9383859,-0.9521248,-1.9628543,-0.97517365,-0.00014246811,-0.012985079,-0.024867972,0.9538332,1.9398757,0.9292658,-0.06874934,-0.007874274
0170,-0.9299657,0.0072545954,0.94596547,-1.9332749,-0.0010190826,1.9327585,-0.9402204,-0.0030294112,0.9356116,-0.94912314,-1.9596504,-0.9719258,0.00080288376,-0.011874807,-0.02362499,0.9526979,1.9388137,0.92839766,-0.066873424,-0.0069715427
0180,-0.92792314,0.006684458,0.9428362,-1.9308172,-0.0013913773,1.9296024,-0.9376876,-0.0030591874,0.9330691,-0.9475374,-1.9578078,-0.9698702,0.00041479486,-0.012046365,-0.023536555,0.95037436,1.9365677,0.92646426,-0.06328021,-0.0073154345
0190,-0.926366,0.005853845,0.93968046,-1.9290314,-0.002213636,1.9261775,-0.93585825,-0.0035936255,0.930173,-0.94632584,-1.9564067,-0.96840876,-0.00036593032,-0.012674288,-0.024017133,0.94769305,1.9339516,0.92407143,-0.059962597,-0.007927632
0200,-0.924504,0.0052328035,0.9367033,-1.9266049,-0.0025237277,1.9232055,-0.9331301,-0.003344621,0.92801094,-0.9434059,-1.9532627,-0.965089,0.000845278,-0.011262628,-0.02234283,0.94726294,1.9335885,0.9239979,-0.058051072,-0.0080749225
0210,-0.9227786,0.0047973893,0.9340677,-1.924571,-0.002875481,1.920413,-0.93098485,-0.003331325,0.92587215,-0.9432504,-1.9527998,-0.9644999,-0.00078683696,-0.012673344,-0.023531,0.94388235,1.9303399,0.9209921,-0.056022108,-0.009145468
0220,-0.92073405,0.0046028392,0.9317435,-1.9222418,-0.0029768343,1.9179333,-0.92846847,-0.0029738995,0.92409045,-0.94016886,-1.9495782,-0.9612515,0.0006835807,-0.0111112045,-0.021892888,0.9437617,1.930173,0.92091274,-0.054829042,-0.006780672
0230,-0.9185933,0.0045922482,0.92956823,-1.9196836,-0.002771957,1.9157262,-0.9258257,-0.0024048076,0.9225045,-0.93736434,-1.9465963,-0.95826274,0.001912825,-0.009744977,-0.02042821,0.94334733,1.9298629,0.9207683,-0.052573197,-0.0064818677
0240,-0.9166427,0.0045134034,0.9274296,-1.9172233,-0.0025169298,1.9136827,-0.9232369,-0.0017683317,0.92104834,-0.936896,-1.946028,-0.9576466,0.0007109262,-0.010908702,-0.021435622,0.94043636,1.9269142,0.91803783,-0.050243743,-0.007078939
0250,-0.915499,0.0036764215,0.9246191,-1.9159533,-0.0034420886,1.9105284,-0.92191625,-0.0023952094,0.91843575,-0.93481934,-1.9438102,-0.9553807,0.0012949047,-0.010189401,-0.020563098,0.93954974,1.9260905,0.9174183,-0.04889047,-0.0077653336
0260,-0.9139427,0.0031713566,0.922032,-1.9141855,-0.003906709,1.9077984,-0.9200385,-0.0024990197,0.9163424,-0.93292373,-1.9417249,-0.9533965,0.001728289,-0.009645703,-0.02001556,0.9384839,1.9250559,0.91645646,-0.046748675,-0.008044681
0270,-0.9122999,0.0029186509,0.9198926,-1.9122784,-0.0040735756,1.9055715,-0.91819286,-0.0024805742,0.9145931,-0.9312941,-1.9399087,-0.9514259,0.0019247211,-0.009276491,-0.019486988,0.9372449,1.923887,0.9155109,-0.044608872,-0.0065335506
0280,-0.9112749,0.0020190033,0.9171396,-1.9110255,-0.0049133264,1.9026479,-0.9168308,-0.0029705907,0.9122097,-0.9304985,-1.938822,-0.95017844,0.0012641129,-0.009685873,-0.0196665,0.9351438,1.921971,0.9138704,-0.042957567,-0.008256937
0290,-0.908657,0.0026924477,0.9158565,-1.9081994,-0.004184273,1.9012216,-0.9140032,-0.0020332378,0.91125727,-0.92973804,-1.9377857,-0.94895154,0.0008503769,-0.009861863,-0.01958648,0.93355066,1.9205471,0.91274506,-0.040253185,-0.009170198
0300,-0.9073195,0.0022635637,0.9136475,-1.9066852,-0.0046489662,1.8987688,-0.9124492,-0.002238393,0.90926737,-0.9285366,-1.9363992,-0.9475516,0.0007962572,-0.009754809,-0.019328704,0.9322625,1.9193398,0.9117445,-0.038121253,-0.010101442
0310,-0.90548617,0.0023195427,0.91203254,-1.9045426,-0.004465027,1.8970789,-0.9102819,-0.0018198455,0.90797514,-0.9262628,-1.9338164,-0.9448636,0.0018999623,-0.0083559835,-0.017736062,0.93210363,1.9193931,0.91203153,-0.036453392,-0.009818281
0320,-0.9036543,0.0024005903,0.9104305,-1.9024563,-0.0043162787,1.895293,-0.9081068,-0.0013396201,0.9067463,-0.9256251,-1.9330593,-0.9440931,0.0012151707,-0.00895331,-0.018286966,0.93012744,1.9174151,0.9101042,-0.034537002,-0.010490636
0330,-0.9028126,0.001516158,0.9077995,-1.90138,-0.005156001,1.8924937,-0.90696317,-0.0018748558,0.9044718,-0.9248441,-1.932046,-0.9429581,0.0006190915,-0.009344251,-0.018465003,0.9281985,1.915595,0.9085629,-0.035321992,-0.011203046
0340,-0.90147644,0.0011717973,0.90579134,-1.8997366,-0.00538508,1.8903863,-0.9052412,-0.0017949722,0.90287024,-0.92343354,-1.9304032,-0.9412289,0.0010726152,-0.008693436,-0.017689312,0.92776215,1.9152694,0.9083878,-0.032814663,-0.011814101
