,x11,x12,x13,x21,x22,x23,x31,x32,x33,y11,y12,y13,y21,y22,y23,y31,y32,y33,b1,b2
0570,-0.87259066,-0.0020606872,0.8702598,-1.8664755,-0.0076100314,1.8513311,-0.87158674,0.0005841886,0.87270427,-0.9023221,-1.9043026,-0.91255814,0.00077692384,-0.0050444873,-0.009653927,0.9063705,1.8961968,0.8946015,-0.007926738,-0.0046658255
0580,-0.8711935,-0.0019348464,0.869124,-1.8649899,-0.007503797,1.8499634,-0.87010235,0.00084931013,0.87167317,-0.9028966,-1.9047519,-0.91288334,-0.00053791126,-0.006252361,-0.010642094,0.9043925,1.8942343,0.8928846,-0.008426631,-0.004538624
0590,-0.8700072,-0.0019409846,0.8679293,-1.863641,-0.0074506835,1.8486648,-0.868748,0.0010944471,0.8707609,-0.9017314,-1.9032592,-0.9111335,-0.00014119629,-0.0055305604,-0.009581293,0.9040742,1.894145,0.89319056,-0.0077348594,-0.0030673828
0600,-0.86885417,-0.0019396078,0.8667274,-1.8624436,-0.007524315,1.8472289,-0.86757433,0.0011534689,0.869618,-0.9016982,-1.9029831,-0.91069895,-0.00088730035,-0.006051489,-0.009896035,0.90254235,1.8927875,0.89209104,-0.007624248,-0.004960055
0610,-0.8674022,-0.0016871967,0.86582947,-1.8609092,-0.007297492,1.8461275,-0.8661037,0.0015208531,0.8688258,-0.9002165,-1.9013337,-0.9089482,-7.84877e-05,-0.005076616,-0.008728542,0.90269357,1.8930568,0.89258593,-0.007261444,-0.0037572999
0620,-0.8665776,-0.0019463273,0.86448073,-1.859883,-0.007462922,1.8446912,-0.8650556,0.0015475816,0.8677778,-0.8996916,-1.900475,-0.9078477,-0.00023370533,-0.004933316,-0.008250749,0.9018832,1.8925277,0.89243525,-0.005968661,-0.0020424183
0630,-0.86570734,-0.002134535,0.8632024,-1.8588707,-0.007659505,1.8432325,-0.8641315,0.0014087864,0.86653847,-0.8987541,-1.8994262,-0.90673935,-0.0001346516,-0.0047542593,-0.007945359,0.9011465,1.8918427,0.89192486,-0.005907684,-0.0018647795
0640,-0.8643748,-0.0018760853,0.8623812,-1.8574393,-0.0074084154,1.8422474,-0.8628294,0.0016962836,0.8657691,-0.89904445,-1.899498,-0.90673447,-0.0010489058,-0.005456036,-0.008483276,0.8996056,1.8904525,0.8907375,-0.006100136,-0.003084347
0650,-0.8641257,-0.0026020303,0.8606318,-1.8571123,-0.008174781,1.8403078,-0.8626594,0.00087632076,0.86391664,-0.8975271,-1.897904,-0.9051582,-0.00040096114,-0.0047713364,-0.007739689,0.8994484,1.8902506,0.8906184,-0.005826798,-0.0015787248
0660,-0.8615123,-0.0011355075,0.861074,-1.8544624,-0.006791716,1.8404945,-0.8603073,0.002111538,0.8640916,-0.8978392,-1.8979986,-0.9051469,-0.0013762438,-0.005560843,-0.008335487,0.89786613,1.888825,0.88943124,-0.004673938,-0.001961966
